date,open,high,low,close
2018-09-24,147.944,148.682,147.79,147.936
2018-09-25,148.894,149.048,148.34,148.87
2018-09-26,148.411,148.722,147.614,148.439
2018-09-27,148.26,148.605,147.556,148.211
2018-09-30,148.33,149.165,148.273,148.361
2018-10-01,148.636,148.681,147.194,148.615
2018-10-02,147.405,148.505,147.248,147.412
2018-10-03,148.13,148.598,147.71,148.143
2018-10-04,148.318,149.078,148.1,148.332
2018-10-07,149.231,149.492,147.523,149.265
2018-10-08,148.062,148.713,147.356,148.069
2018-10-09,148.644,149.291,148.54,148.657
2018-10-10,148.047,148.755,147.881,148.034
2018-10-11,148.32,148.975,147.324,148.322
2018-10-14,147.029,147.413,146.516,147.007
2018-10-15,147.125,148.392,147.08,147.111
2018-10-16,148.094,148.24,147.063,148.139
2018-10-17,147.539,147.714,146.425,147.555
2018-10-18,146.088,147.008,146.06,146.057
2018-10-21,146.921,147.57,146.061,146.951
2018-10-22,146.16,146.37,145.328,146.186
2018-10-23,145.949,146.295,144.99,145.939
2018-10-24,144.349,145.018,144.096,144.337
2018-10-25,144.001,144.125,142.77,144.073
2018-10-29,143.56,144.371,143.357,143.582
2018-10-30,143.76,144.375,143.532,143.792
2018-10-31,143.642,145.106,143.62,143.67
2018-11-01,144.04,146.32,144.031,144.097
2018-11-02,146.515,147.229,146.32,146.54
2018-11-05,147.117,147.501,146.876,147.136
2018-11-06,147.86,148.354,147.306,147.854
2018-11-07,148.642,149.22,148.359,148.639
2018-11-08,149.074,149.475,148.768,149.065
2018-11-09,148.887,148.96,147.614,148.884
2018-11-12,147.274,147.565,146.084,147.286
2018-11-13,146.103,148.638,146.0,146.158
2018-11-14,148.118,148.4,146.85,148.082
2018-11-15,147.45,147.898,144.44,147.463
2018-11-16,144.958,145.433,144.72,144.93
2018-11-19,144.67,145.267,144.412,144.652
2018-11-20,144.591,144.852,143.99,144.602
2018-11-21,144.136,144.884,144.08,144.148
2018-11-22,144.38,145.856,144.292,144.397
2018-11-23,145.45,145.517,144.376,145.45
2018-11-26,144.726,145.732,144.663,144.665
2018-11-27,145.441,145.504,144.604,145.425
2018-11-28,144.97,145.689,144.86,144.955
2018-11-29,145.603,145.66,144.55,145.604
2018-11-30,144.962,145.254,144.666,144.96
2018-12-03,145.01,145.503,144.192,145.04
2018-12-04,144.533,144.687,143.62,144.535
2018-12-05,143.333,144.458,143.272,143.341
2018-12-06,143.88,144.056,143.25,143.879
2018-12-07,144.059,144.189,143.462,143.99
2018-12-10,143.098,143.66,141.263,143.08
2018-12-11,142.167,142.836,141.812,142.14
2018-12-12,141.64,143.418,141.53,141.637
2018-12-13,143.005,143.894,142.99,143.051
2018-12-14,143.701,143.704,142.405,143.688
2018-12-17,142.692,143.207,142.261,142.692
2018-12-18,142.332,142.64,141.961,142.325
2018-12-19,142.342,142.512,141.643,142.37
2018-12-20,141.91,142.073,140.817,141.945
2018-12-21,140.835,141.156,140.247,140.82
2018-12-24,140.52,140.847,140.3,140.457
2018-12-25,140.24,140.92,139.54,140.17
2018-12-26,140.07,140.481,139.757,140.053
2018-12-27,140.702,140.766,139.83,140.696
2018-12-28,140.211,140.305,139.485,140.206
2018-12-31,140.004,140.86,139.655,140.027
2019-01-01,139.75,139.78,138.03,139.6
2019-01-02,139.849,139.849,137.446,139.858
2019-01-03,134.493,136.734,133.909,134.484
2019-01-04,136.201,137.95,135.832,136.141
2019-01-07,138.121,138.675,137.663,138.183
